Region,Organization Type,Organization Name,Link
British Columbia,Member Organizations,BC Blueberry Council,https://www.bcblueberry.com/
British Columbia,Member Organizations,BC Greenhouse Growers’ Association,https://bcgreenhouse.ca/
British Columbia,Member Organizations,BC Raspberry Industry Development Council,https://bcraspberries.com/
British Columbia,Member Organizations,BC Vegetable Marketing Commission,https://www.bcveg.com/
British Columbia,Member Organizations,N/A,N/A
British Columbia,Member Organizations,Fraserland Organics,https://www.fraserlandorganics.com/
British Columbia,Member Organizations,IVCA (Island Vegetable Cooperative Association),https://ivca.ca/
British Columbia,Member Organizations,Western Agriculture Labour Initiative (WALI) ,https://walicanada.ca/
British Columbia,Member Organizations,B.C Strawberry Growers Association,https://bcstrawberries.com/
British Columbia,Member Organizations,B.C.Fresh Vegetables Inc,https://bcfresh.ca/
British Columbia,Member Organizations,N/A,N/A
British Columbia,Member Organizations,BC Fruit Growers Association (BCFGA),https://www.bcfga.com/
British Columbia,Member Organizations,Okanagan Grown Produce Ltd.,http://www.okanagangrown.com/
British Columbia,Member Organizations,BC Cranberry Marketing Commission,https://www.bccranberries.com/
British Columbia,Associate Organizations,Applied Bio-nomics Ltd. ,https://www.appliedbio-nomics.com/
Alberta,Member Organizations,Alberta Greenhouse Growers Association,https://agga.ca/
Alberta,Member Organizations,Potato Growers of Alberta,https://www.albertapotatoes.ca/home
Alberta,Member Organizations,Red Hat Co-operative,https://redhatco-op.com/
Alberta,Associate Organizations,The Little Potato Company,https://www.littlepotatoes.com/?gclid=Cj0KCQiA4aacBhCUARIsAI55maHEQLqHZBy97hcdmasV7DoRgmHCn4FR2fcdy-FWzJIEq4MgNIxGdsgaAv4PEALw_wcB
Alberta,Associate Organizations,"Lamb Weston, Division of ConAgra Ltd.",https://www.lambweston.com/en-ca.html
Saskatchewan,Member Organizations,Saskatchewan Vegetable Growers Association,http://www.svga.ca/
Saskatchewan,Member Organizations,Saskatchewan Seed Potato Growers Association,http://sspga.ca/wordpress_sspga/
Saskatchewan,Member Organizations,Saskatchewan Ministry of Agriculture,https://www.saskatchewan.ca/government/government-structure/ministries/agriculture
Saskatchewan,Associate Organizations,Tuberosum,https://tuberosumtechnologies.com/
Manitoba,Member Organizations,N/A,N/A
Manitoba,Member Organizations,Keystone Potato Producers Association,https://pmana.org/associate-pgs/kppa.html
Manitoba,Member Organizations,Seed Potato Growers of Manitoba,https://www.manitobaseedpotatoes.com/
Manitoba,Member Organizations,Peak of The Market,https://peakofthemarket.com/
Manitoba,Member Organizations,Prairie Fruit Growers Association,https://pfga.com/
Manitoba,Member Organizations,N/A,N/A
Manitoba,Member Organizations,Manitoba Agriculture,https://www.gov.mb.ca/agriculture/
Manitoba,Associate Organizations,Ag World Support Systems Corp,http://www.aginspections.com/
Manitoba,Associate Organizations,Simplot,https://www.simplot.com/
Ontario,Member Organizations,N/A,N/A
Ontario,Member Organizations,Asparagus Farmers of Ontario,https://ontarioasparagus.ca/
Ontario,Member Organizations,Berry Growers of Ontario,https://ontarioberries.com/
Ontario,Member Organizations,Bradford Co-operative Storage Ltd.,https://www.bradfordcoop.ca/
Ontario,Member Organizations,N/A,N/A
Ontario,Member Organizations,N/A,N/A
Ontario,Member Organizations,N/A,N/A
Ontario,Member Organizations,N/A,N/A
Ontario,Member Organizations,FARMS,https://farmsontario.ca/
Ontario,Member Organizations,Fresh Vegetable Growers of Ontario,https://www.freshvegetablesontario.com/
Ontario,Member Organizations,Garlic Growers Association of Ontario,https://www.garlicgrowersofontario.com/
Ontario,Member Organizations,N/A,N/A
Ontario,Member Organizations,N/A,N/A
Ontario,Member Organizations,Grape Growers of Ontario,https://grapegrowersofontario.com/
Ontario,Member Organizations,N/A,N/A
Ontario,Member Organizations,Holland Marsh Growers Association,https://hmga.ca/
Ontario,Member Organizations,N/A,N/A
Ontario,Member Organizations,Niagara Peninsula Fruit and Vegetable Growers’ Association,http://www.npfvga.org/
Ontario,Member Organizations,Norfolk Fruit Growers’ Association,https://www.nfga.ca/
Ontario,Member Organizations,Ontario Apple Growers,https://www.onapples.com/
Ontario,Member Organizations,Ontario Farm Fresh Marketing Association,https://farmfreshontario.com/
Ontario,Member Organizations,N/A,N/A
Ontario,Member Organizations,Ontario Fruit & Vegetable Growers’ Association,https://www.ofvga.org/aboutofvga
Ontario,Member Organizations,Ontario Ginseng Growers’ Association,https://ginsengontario.com/
Ontario,Member Organizations,Ontario Greenhouse Vegetable Growers,https://www.ogvg.com/
Ontario,Member Organizations,Ontario Potato Board,https://www.ontariopotatoes.ca/
Ontario,Member Organizations,Ontario Processing Vegetable Growers,https://www.opvg.org/
Ontario,Member Organizations,Ontario Tender Fruit Growers,https://www.ontariotenderfruit.ca/
Ontario,Associate Organizations,Algoma Orchards Ltd.,https://www.algomaorchards.com/
Ontario,Associate Organizations,N/A,N/A
Ontario,Associate Organizations,Belchim Crop Protection Canada,https://www.belchimcanada.com/index.html
Ontario,Associate Organizations,IFCO,https://www.ifco.com/
Ontario,Associate Organizations,N/A,N/A
Ontario,Associate Organizations,Greenhouse Technology Network,https://greenhousetechnetwork.ca/
Quebec,Member Organizations,N/A,N/A
Quebec,Member Organizations,Association des producteurs de fraises et de framboises du Québec (APFFQ),https://fraisesetframboisesduquebec.com/
Quebec,Member Organizations,Association des producteurs maraîchers du Québec(APMQ),https://apmquebec.com/
Quebec,Member Organizations,N/A,N/A
Quebec,Member Organizations,Les Producteurs de pommes du Québec,https://producteursdepommesduquebec.ca/
Quebec,Member Organizations,Producteurs de légumes de transformation du Québec,https://www.legumes-transformation.qc.ca/
Quebec,Member Organizations,Producteurs en serre du Québec,https://www.serres.quebec/
Quebec,Member Organizations,FERME,https://www.fermequebec.ca/
Quebec,Associate Organizations,A. Lassonde Inc.,https://www.lassonde.com/en/
Quebec,Associate Organizations,Groupe Vegco,http://groupevegco.com/en/
Quebec,Associate Organizations,N/A,N/A
Quebec,Associate Organizations,Les Vergers Leahy,https://applesnax.com/en/
Quebec,Associate Organizations,N/A,N/A
Quebec,Associate Organizations,Serres Belle-de-jour,https://serrebj.qc.ca/
Quebec,Associate Organizations,Association québécoise de la distribution de fruits et légumes,https://www.aqdfl.ca/fr/
Quebec,Associate Organizations,NorTerra Foods,https://www.bonduelle.com/en/
Quebec,Associate Organizations,Sollum,https://sollumtechnologies.com/
New Brunswick,Member Organizations,N/A,N/A
New Brunswick,Member Organizations,New Brunswick Soil and Crop Improvement Association,https://www.nbscia.ca/home/
New Brunswick,Member Organizations,"New Brunswick Department of Agriculture,  Aquaculture and Fisheries",https://www2.gnb.ca/content/gnb/en/departments/10.html
New Brunswick,Member Organizations,N/A,N/A
New Brunswick,Member Organizations,N/A,N/A
New Brunswick,Member Organizations,Potatoes New Brunswick,https://www.potatoesnb.com/
New Brunswick,Member Organizations,N/A,N/A
New Brunswick,Associate Organizations,McCain Foods Canada,https://mccain.ca/
New Brunswick,Associate Organizations,NB Soil & Crop Improvement Association,https://www.nbscia.ca/
